[2026-05-30 16:59:59,829] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-30 16:59:59,833] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-30 17:00:01,894] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-30 17:00:01,901] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-30 17:00:06,195] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-30 17:00:06,199] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-30 17:01:22,805] ERROR [pdf_compliance._run_loop:54] - Error in sync pipeline execution: no such table: settings
[2026-05-30 17:01:32,808] ERROR [pdf_compliance._run_loop:54] - Error in sync pipeline execution: no such table: settings
[2026-05-30 17:01:42,811] ERROR [pdf_compliance._run_loop:54] - Error in sync pipeline execution: no such table: settings
[2026-05-30 17:01:44,420] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-30 17:01:44,506] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-30 17:01:44,515] INFO [pdf_compliance.init_db:158] - Inserted default compliance rules.
[2026-05-30 17:01:44,515] INFO [pdf_compliance.init_db:174] - Inserted default settings.
[2026-05-30 17:01:44,515] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-30 17:01:52,818] ERROR [pdf_compliance._run_loop:54] - Error in sync pipeline execution: no such table: settings
[2026-05-30 17:01:55,755] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-30 17:01:55,765] INFO [pdf_compliance.init_db:158] - Inserted default compliance rules.
[2026-05-30 17:01:55,765] INFO [pdf_compliance.init_db:174] - Inserted default settings.
[2026-05-30 17:01:55,765] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-30 17:06:12,563] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
